0
-13,68223811
-10,06493348
-6,400585522
-2,687701408
1,074680773
4,886939843
8,748833204
12,65947121
16,61730298
20,62011246
24,66502338
28,74851221
32,86642778
37,01401687
41,18595461
45,37637914
49,57892951
53,78678642
57,99271492
62,18910878
66,36803578
70,52128368
74,64040641
78,71677003
82,74159831
86,7060176
90,60110066
94,41790946
98,14753655
101,781145
105,3100068
108,7255395
112,0193411
115,1832234
118,2092428
121,0897304
123,8173189
126,3849687
128,7859915
131,0140725
133,0632903
134,9281357
136,603656
138,0856521
139,370766
140,4565075
141,3412517
142,0242192
142,5054472
142,7857561
142,8667143
142,7505997
142,4403628
141,9395875
141,2524532
140,383696
139,3385712
138,1228151
136,7426079
135,2045369
133,51556
131,68297
129,7143598
127,6175873
125,4007424
123,0721132
120,6401541
118,1133267
115,4998857
112,8077765
110,0445896
107,2175457
104,3335237
101,3990806
98,42041446
95,40330877
92,3530758
89,27450785
86,17183986
83,0487242
79,90821722
76,75277682
73,58426958
70,40398644
67,21266542
64,01052058
60,79727571
57,57220215
54,33415957
51,08163909
47,81280782
44,52555441
41,21753485
37,88621811
34,52893109
31,14290272
27,72530654
24,27327472
20,78392664
17,2544562
13,68223812
10,06493349
6,400585526
2,687701412
-1,074680769
-4,88693984
-8,748833201
-12,6594712
-16,61730298
-20,62011245
-24,66502338
-28,7485122
-32,86642778
-37,01401687
-41,18595461
-45,37637914
-49,57892951
-53,78678642
-57,99271492
-62,18910878
-66,36803577
-70,52128368
-74,64040641
-78,71677003
-82,74159831
-86,70601759
-90,60110066
-94,41790946
-98,14753655
-101,781145
-105,3100068
-108,7255395
-112,0193411
-115,1832234
-118,2092428
-121,0897304
-123,8173189
-126,3849687
-128,7859915
-131,0140725
-133,0632903
-134,9281357
-136,603656
-138,0856521
-139,370766
-140,4565075
-141,3412517
-142,0242192
-142,5054472
-142,7857561
-142,8667143
-142,7505997
-142,4403628
-141,9395875
-141,2524532
-140,383696
-139,3385712
-138,1228151
-136,7426079
-135,2045369
-133,51556
-131,68297
-129,7143598
-127,6175873
-125,4007424
-123,0721132
-120,6401541
-118,1133267
-115,4998857
-112,8077765
-110,0445896
-107,2175457
-104,3335237
-101,3990806
-98,42041446
-95,40330877
-92,3530758
-89,27450785
-86,17183986
-83,0487242
-79,90821722
-76,75277682
-73,58426958
-70,40398644
-67,21266542
-64,01052058
-60,79727571
-57,57220215
-54,33415957
-51,08163909
-47,81280782
-44,52555441
-41,21753485
-37,88621811
-34,52893109
-31,14290272
-27,72530654
-24,27327472
-20,78392664
-17,2544562
-13,68223812
-10,06493349
-6,400585526
-2,687701412
1,074680769
4,88693984
8,748833201
12,6594712
16,61730298
20,62011245
24,66502338
28,7485122
32,86642778
37,01401687
41,18595461
45,37637914
49,57892951
53,78678642
57,99271492
62,18910878
66,36803577
70,52128368
74,64040641
78,71677003
82,74159831
86,70601759
90,60110066
94,41790946
98,14753655
101,781145
105,3100068
108,7255395
112,0193411
115,1832234
118,2092428
121,0897304
123,8173189
126,3849687
128,7859915
131,0140725
133,0632903
134,9281357
136,603656
138,0856521
139,370766
140,4565075
141,3412517
142,0242192
142,5054472
142,7857561
142,8667143
142,7505997
142,4403628
141,9395875
141,2524532
140,383696
139,3385712
138,1228151
136,7426079
135,2045369
133,51556
131,68297
129,7143598
127,6175873
125,4007424
123,0721132
120,6401541
118,1133267
115,4998857
112,8077765
110,0445896
107,2175457
104,3335237
101,3990806
98,42041446
95,40330877
92,3530758
89,27450785
86,17183986
83,0487242
79,90821722
76,75277682
73,58426958
70,40398644
67,21266542
64,01052058
60,79727571
57,57220215
54,33415957
51,08163909
47,81280782
44,52555441
41,21753485
37,88621811
34,52893109
31,14290272
27,72530654
24,27327472
20,78392664
17,2544562
13,68223812
10,06493349
6,400585526
2,687701412
-1,074680769
-4,88693984
-8,748833201
-12,6594712
-16,61730298
-20,62011245
-24,66502338
-28,7485122
-32,86642778
-37,01401687
-41,18595461
-45,37637914
-49,57892951
-53,78678642
-57,99271492
-62,18910878
-66,36803577
-70,52128368
-74,64040641
-78,71677003
-82,74159831
-86,70601759
-90,60110066
-94,41790946
-98,14753655
-101,781145
-105,3100068
-108,7255395
-112,0193411
-115,1832234
-118,2092428
-121,0897304
-123,8173189
-126,3849687
-128,7859915
-131,0140725
-133,0632903
-134,9281357
-136,603656
-138,0856521
-139,370766
-140,4565075
-141,3412517
-142,0242192
-142,5054472
-142,7857561
-142,8667143
-142,7505997
-142,4403628
-141,9395875
-141,2524532
-140,383696
-139,3385712
-138,1228151
-136,7426079
-135,2045369
-133,51556
-131,68297
-129,7143598
-127,6175873
-125,4007424
-123,0721132
-120,6401541
-118,1133267
-115,4998857
-112,8077765
-110,0445896
-107,2175457
-104,3334888
-101,3988923
-98,41988702
-95,4022969
-92,3516769
-89,27334825
-86,17243054
-83,0538697
-79,92246195
-76,7828737
-73,63965779
-70,49726636
-67,36006062
-64,23231787
-61,11823609
-58,02193634
-54,94746331
-51,89878416
-48,87978605
-45,89427238
-42,94595814
-40,03846434
-37,17531193
-34,35991515
-31,59557458
-28,88546994
-26,23265292
-23,64003985
-21,1104046
-18,64637168
-16,25040952
-13,92482423
-11,67175358
-9,493161643
-7,390833741
-5,366372052
-3,421191728
-1,556517616
0,226618408
1,927379475
3,545125132
5,079412096
6,529994366
7,896822692
9,180043398
10,37999658
11,49721367
12,53241442
13,48650324
14,360565
15,15586028
15,87382007
16,51603993
17,08427371
17,58042677
18,00654879
18,36482612
18,65757381
18,88722725
19,05633344
19,16754205
19,22359615
19,22732272
19,18162292
19,08946224
18,95386041
18,77788129
18,56462256
18,31720541
